objectid,park_name,court_number,comments,data_source,lat,lng
580,Disston Park,1, ,Nearmap 2023,40.01886336966381,-75.04884595600006
581,East Poplar Playground,1,Renovated 2021,Nearmap 2023,39.9673381658078,-75.1509324183385
582,Eastwick Regional Playground,2,Renovated in 2021 (share pickleball),Nearmap 2023,39.90488771565436,-75.25046156759767
583,Eastwick Regional Playground,4, ,Nearmap 2023,39.90466342937634,-75.2506710077537
584,Eastwick Regional Playground,5, ,Nearmap 2023,39.90453100576868,-75.25077492556595
585,Fernhill Park,1, ,Nearmap 2023,40.02072694698569,-75.16855064111962
586,Fernhill Park,3, ,Nearmap 2023,40.02058151132176,-75.16881507901918
587,Charles M Finley Playground,1, ,Nearmap 2023,40.064016284421484,-75.16993573459007
588,Charles M Finley Playground,3, ,Nearmap 2023,40.064229397109486,-75.16965924694183
589,Charles M Finley Playground,4, ,Nearmap 2023,40.06432556516212,-75.16953613512568
590,Fisher Park,1, ,2024 October Site Visits,40.04377723684584,-75.13145736340238
591,Fisher Park,3, ,2024 October Site Visits,40.043735316491116,-75.13113484360484
592,Fox Chase Recreation Center,1,Fox Chase School Playground,Nearmap 2023,40.07438558714106,-75.08160121594253
593,Fox Chase Recreation Center,3,Fox Chase School Playground,Nearmap 2023,40.07422768175163,-75.08132037969715
594,Franklin Delano Roosevelt Park,14,Pickleball Court,Nearmap 2023,39.898402484148434,-75.18529637439039
595,Franklin Delano Roosevelt Park,15, ,Nearmap 2023,39.89836779793757,-75.18545089006335
596,Franklin Delano Roosevelt Park,12, ,Nearmap 2023,39.89846821274305,-75.18498438470105
597,Franklin Delano Roosevelt Park,11, ,Nearmap 2023,39.89849683934999,-75.18482545418051
598,Franklin Delano Roosevelt Park,4, ,Nearmap 2023,39.90439474490365,-75.17607161814114
599,Franklin Delano Roosevelt Park,3, ,Nearmap 2023,39.90441477890298,-75.17590216150789
600,Franklin Delano Roosevelt Park,2, ,Nearmap 2023,39.904433622497805,-75.17573274866409
601,Franklin Delano Roosevelt Park,1, ,Nearmap 2023,39.90445365599636,-75.17556329183415
602,Franklin Delano Roosevelt Park,10, ,Nearmap 2023,39.90409155432063,-75.17584010800844
603,Franklin Delano Roosevelt Park,9, ,Nearmap 2023,39.9041080157939,-75.17567078730788
604,Franklin Delano Roosevelt Park,8, ,Nearmap 2023,39.90412811863728,-75.17550442303326
605,Franklin Delano Roosevelt Park,7, ,Nearmap 2023,39.90414454488126,-75.17533355569451
606,Franklin Delano Roosevelt Park,6, ,Nearmap 2023,39.904165768817826,-75.17516405436513
607,Garden Court,2, ,Nearmap 2023,39.95312043981718,-75.21640065362078
608,Garland and Bingham Fields,0, ,Nearmap 2023,40.033764156744034,-75.1101819107961
609,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.01253806786336,-75.20336086533293
610,Gustine Recreation Center,0,Operated by Legacy Youth and Tennis,Property 2024,40.012487738100056,-75.20318758719591
